pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	PPI
6c6z	C	D	0	A	protein		spike protein	IMMUNE SYSTEM	01/19/18	Crystal structure of potent neutralizing antibody CDC2-C2 in complex with MERS-CoV S1 RBD	MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	middle east respiratory syndrome-relatedcoronavirus 	Wang, N., McLellan, J.S.	2.1	X-RAY DIFFRACTION	0.228	0.191	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None	6C6Z_CD_A
5bk3	C	D	0	D	carbohydrate	NAG	polysaccharide	IMMUNE SYSTEM	09/12/17	Crystal structure of the neutralizing anti-circumsporozoite protein 580 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Scally, S.W., Bosch, A., Triller, G., Wardemann, H., Julien, J.P.	2.8	X-RAY DIFFRACTION	0.231	0.19	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None	5BK3_CD_D
5bk3	H	L	0	L	carbohydrate	NAG	polysaccharide	IMMUNE SYSTEM	09/12/17	Crystal structure of the neutralizing anti-circumsporozoite protein 580 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Scally, S.W., Bosch, A., Triller, G., Wardemann, H., Julien, J.P.	2.8	X-RAY DIFFRACTION	0.231	0.19	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None	5BK3_HL_L
5bk3	A	B	0	B	carbohydrate	NAG	polysaccharide	IMMUNE SYSTEM	09/12/17	Crystal structure of the neutralizing anti-circumsporozoite protein 580 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Scally, S.W., Bosch, A., Triller, G., Wardemann, H., Julien, J.P.	2.8	X-RAY DIFFRACTION	0.231	0.19	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None	5BK3_AB_B
5bk3	E	F	0	F	carbohydrate	NAG	polysaccharide	IMMUNE SYSTEM	09/12/17	Crystal structure of the neutralizing anti-circumsporozoite protein 580 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Scally, S.W., Bosch, A., Triller, G., Wardemann, H., Julien, J.P.	2.8	X-RAY DIFFRACTION	0.231	0.19	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None	5BK3_EF_F
6dca	J	N	0	R	peptide		microtubule-associated protein tau	IMMUNE SYSTEM	05/04/18	Fab/epitope complex of mouse monoclonal antibody 6B2 targeting a non-phosphorylated tau epitope.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Chukwu, J.E., Kong, X.-P.	2.5989999999999998	X-RAY DIFFRACTION	0.259	0.18899999999999997	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None	6DCA_JN_R
6dca	K	O	0	S	peptide		microtubule-associated protein tau	IMMUNE SYSTEM	05/04/18	Fab/epitope complex of mouse monoclonal antibody 6B2 targeting a non-phosphorylated tau epitope.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Chukwu, J.E., Kong, X.-P.	2.5989999999999998	X-RAY DIFFRACTION	0.259	0.18899999999999997	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None	6DCA_KO_S
6dca	I	M	0	Q	peptide		microtubule-associated protein tau	IMMUNE SYSTEM	05/04/18	Fab/epitope complex of mouse monoclonal antibody 6B2 targeting a non-phosphorylated tau epitope.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Chukwu, J.E., Kong, X.-P.	2.5989999999999998	X-RAY DIFFRACTION	0.259	0.18899999999999997	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None	6DCA_IM_Q
6dca	H	L	0	P	peptide		microtubule-associated protein tau	IMMUNE SYSTEM	05/04/18	Fab/epitope complex of mouse monoclonal antibody 6B2 targeting a non-phosphorylated tau epitope.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Chukwu, J.E., Kong, X.-P.	2.5989999999999998	X-RAY DIFFRACTION	0.259	0.18899999999999997	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None	6DCA_HL_P
3e8u	H	L	0	P	peptide		bnp peptide epitope	IMMUNE SYSTEM	08/20/08	Crystal structure and thermodynamic analysis of diagnostic Fab 106.3 complexed with BNP 5-13 (C10A) reveal basis of selective molecular recognition	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Longenecker, K.L., Ruan, Q., Fry, E.H., Saldana, S.S., Brophy, S.E., Richardson, P.L., Tetin, S.Y.	2.1	X-RAY DIFFRACTION	0.243	0.185	False	True	IGHV9	IGKV3	Kappa	2.00E-10	-13.14	Other	23	19274732	3E8U_HL_P
3lex	H	L	0	P	peptide		envelope glycoprotein gp41	IMMUNE SYSTEM	01/15/10	2F5 Epitope scaffold elicited anti-HIV-1 monoclonal antibody 11F10 in complex with HIV-1 GP41	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Ofek, G., Guenaga, F.J., Schief, W.R., Skinner, J., Baker, D., Wyatt, R., Kwong, P.D.	1.97	X-RAY DIFFRACTION	0.198	0.165	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None	3LEX_HL_P
3lex	A	B	0	C	peptide		envelope glycoprotein gp41	IMMUNE SYSTEM	01/15/10	2F5 Epitope scaffold elicited anti-HIV-1 monoclonal antibody 11F10 in complex with HIV-1 GP41	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Ofek, G., Guenaga, F.J., Schief, W.R., Skinner, J., Baker, D., Wyatt, R., Kwong, P.D.	1.97	X-RAY DIFFRACTION	0.198	0.165	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None	3LEX_AB_C
5x8m	B	C	0	A	protein		programmed cell death 1 ligand 1	IMMUNE SYSTEM	03/03/17	PD-L1 in complex with durvalumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, H.T.	2.661	X-RAY DIFFRACTION	0.219	0.18100000000000002	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	5X8M_BC_A
6vjt	H	L	0	P	peptide		antigenic region 139-148 of hepatitis b surface antigenprotein 	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	01/17/20	Co-crystals of broadly neutralizing antibody with the linear epitope from Hepatitis B surface antigen	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatitis b virus	Oren, D.A., Nussenzweig, M.C., Wang, Q.	1.7819999999999998	X-RAY DIFFRACTION	0.227	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6VJT_HL_P
4yhz	H	L	0	P	peptide		h3k4me3 peptide	IMMUNE SYSTEM	02/27/15	Crystal structure of 304M3-B Fab in complex with H3K4me3 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Hattori, T., Dementieva, I.S., Montano, S.P., Koide, S.	2.3040000000000003	X-RAY DIFFRACTION	0.213	0.183	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None	4YHZ_HL_P
5lxa		H	0	A	protein		adiponectin receptor protein 2	MEMBRANE PROTEIN	09/20/16	CRYSTAL STRUCTURE OF HUMAN ADIPONECTIN RECEPTOR 2 IN COMPLEX WITH A C18 FREE FATTY ACID AT 3.0 ANGSTROM RESOLUTION	MUS MUSCULUS; HOMO SAPIENS	mus musculus		homo sapiens	Vasiliauskaite-Brooks, I., Leyrat, C., Hoh, F., Granier, S.	3.0	X-RAY DIFFRACTION	0.254	0.19899999999999998	True	True	unknown	unknown	unknown	None	None	None	None	None	5LXA_H_A
5tzu	H	L	0	C	protein		leukocyte surface antigen cd47	IMMUNE SYSTEM	11/22/16	Crystal structure of human CD47 ECD bound to Fab of B6H12.2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Cardoso, R.M.F.	2.1	X-RAY DIFFRACTION	0.213	0.177	False	True	IGHV5	IGKV5	Kappa	None	None	None	None	None	5TZU_HL_C
4k94	H	L	0	CC	carbohydrate | protein	NAG | NA	N-ACETYL-D-GLUCOSAMINE | mast/stem cell growth factor receptor kit	IMMUNE SYSTEM	04/19/13	Crystal structure of KIT D4D5 fragment in complex with anti-Kit antibody Fab19	ESCHERICHIA COLI; HOMO SAPIENS			homo sapiens | homo sapiens	Resheynyak, A.V., Boggon, T.J., Lax, I., Schlessinger, J.	2.4	X-RAY DIFFRACTION	0.235	0.198	False	True	IGHV3	IGKV1	Kappa	None	None	None			4K94_HL_CC
7neh	H	L	0	E	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/03/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	1.77	X-RAY DIFFRACTION	0.198	0.188	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	7NEH_HL_E
3so3	C	B	0	A	protein		suppressor of tumorigenicity 14 protein	HYDROLASE	06/29/11	Structures of Fab-Protease Complexes Reveal a Highly Specific Non-Canonical Mechanism of Inhibition.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Schneider, E.L., Farady, C.J., Egea, P.F., Goetz, D.H., Baharuddin, A., Craik, C.S.	2.1	X-RAY DIFFRACTION	0.194	0.161	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	3SO3_CB_A
6kva	h	l	0	b	peptide		unknown	IMMUNE SYSTEM	09/03/19	Structure of anti-hCXCR2 abN48-2 in complex with its CXCR2 epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Xiang, J.C., Yan, L., Yang, B., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.235	0.19399999999999998	False	False	IGHV1	IGLV5	Lambda	None	None	None	None	None	6KVA_hl_b
6kva	H	L	0	B	peptide		peptide from c-x-c chemokine receptor type 2	IMMUNE SYSTEM	09/03/19	Structure of anti-hCXCR2 abN48-2 in complex with its CXCR2 epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Xiang, J.C., Yan, L., Yang, B., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.235	0.19399999999999998	False	True	IGHV1	IGLV5	Lambda	None	None	None	None	None	6KVA_HL_B
5e2v	H	L	0	P	peptide		tau phosphopeptide	IMMUNE SYSTEM	10/01/15	Anti-TAU AT8 FAB with doubly phosphorylated TAU peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T., Teplyakov, A.	1.64	X-RAY DIFFRACTION	0.208	0.165	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None	5E2V_HL_P
7jum		I	0	B	protein		gametocyte surface protein p230	CELL INVASION	03/31/21	Pfs230 D1 domain in complex with neutralizing antibody LMIV230-01	PLASMODIUM FALCIPARUM (ISOLATE 3D7); HOMO SAPIENS	homo sapiens		plasmodium falciparum (isolate 3d7)	Tolia, N., Tang, W.K.	1.9980000000000002	X-RAY DIFFRACTION	0.233	0.191	True	True	unknown	unknown	unknown	None	None	None	None	None	7JUM_I_B
7jum		J	0	C	protein		gametocyte surface protein p230	CELL INVASION	03/31/21	Pfs230 D1 domain in complex with neutralizing antibody LMIV230-01	PLASMODIUM FALCIPARUM (ISOLATE 3D7); HOMO SAPIENS	homo sapiens		plasmodium falciparum (isolate 3d7)	Tolia, N., Tang, W.K.	1.9980000000000002	X-RAY DIFFRACTION	0.233	0.191	True	True	unknown	unknown	unknown	None	None	None	None	None	7JUM_J_C
7jum		H	0	A	protein		gametocyte surface protein p230	CELL INVASION	03/31/21	Pfs230 D1 domain in complex with neutralizing antibody LMIV230-01	PLASMODIUM FALCIPARUM (ISOLATE 3D7); HOMO SAPIENS	homo sapiens		plasmodium falciparum (isolate 3d7)	Tolia, N., Tang, W.K.	1.9980000000000002	X-RAY DIFFRACTION	0.233	0.191	True	True	unknown	unknown	unknown	None	None	None	None	None	7JUM_H_A
4xvs	H	L	0	G	protein		donor 45 01dg5 coree gp120	Viral protein/Immune system	01/27/15	Crystal structure of HIV-1 donor 45 d45-01dG5 coreE gp120 with antibody 45-VRC01.H01+07.O-863513/45-VRC01.L01+07.O-110653 (VRC07_1995)	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Joyce, M.G., Mascola, J.R., Kwong, P.D.	1.9	X-RAY DIFFRACTION	0.214	0.19399999999999998	False	True	unknown	IGKV3	Kappa	None	None	None	None	None	4XVS_HL_G
1bj1	H	L	0	W	protein		vascular endothelial growth factor	COMPLEX (ANTIBODY/ANTIGEN)	06/30/98	VASCULAR ENDOTHELIAL GROWTH FACTOR IN COMPLEX WITH A NEUTRALIZING ANTIBODY	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Muller, Y.A., Christinger, H.W., De Vos, A.M.	2.4	X-RAY DIFFRACTION	0.266	0.196	False	True	IGHV7	IGKV1	Kappa	3.40E-09	-11.55	SPR	25	9753694	1BJ1_HL_W
1bj1	K	J	0	V	protein		vascular endothelial growth factor	COMPLEX (ANTIBODY/ANTIGEN)	06/30/98	VASCULAR ENDOTHELIAL GROWTH FACTOR IN COMPLEX WITH A NEUTRALIZING ANTIBODY	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Muller, Y.A., Christinger, H.W., De Vos, A.M.	2.4	X-RAY DIFFRACTION	0.266	0.196	False	True	IGHV7	IGKV1	Kappa	3.40E-09	-11.55	SPR	25	9753694	1BJ1_KJ_V
5te7	H	L	0	G	protein		hiv-1 gp120 core	IMMUNE SYSTEM	09/20/16	Crystal Structure of Broadly Neutralizing VRC01-class Antibody N6 in Complex with HIV-1 Clade C Strain DU172.17 gp120 Core	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.15	X-RAY DIFFRACTION	0.228	0.19	False	True	unknown	unknown	unknown	None	None	None	None	None	5TE7_HL_G
6a9k	B	A	0	B	Hapten	9T0	5-[(2R,3R)-2-[2,2-bis(chloranyl)ethanoylamino]-3-(4-nitrophenyl)-3-[oxidanyl-[[4-[2,2,2-tris(fluoranyl)ethanoylamino]phenyl]methyl]phosphoryl]oxy-propoxy]-5-oxidanylidene-pentanoic acid	IMMUNE SYSTEM	07/13/18	Crystal structure of the complex of the hydrolytic antibody Fab 9C10 with a transition-state analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Tsuchiya, Y., Fujii, I., Tada, T., Yamaguchi, A., Tsumuraya, T., Kumon, A.	1.9	X-RAY DIFFRACTION	0.249	0.19399999999999998	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None	6A9K_BA_B
6a9k	H	L	0	H	Hapten	9T0	5-[(2R,3R)-2-[2,2-bis(chloranyl)ethanoylamino]-3-(4-nitrophenyl)-3-[oxidanyl-[[4-[2,2,2-tris(fluoranyl)ethanoylamino]phenyl]methyl]phosphoryl]oxy-propoxy]-5-oxidanylidene-pentanoic acid	IMMUNE SYSTEM	07/13/18	Crystal structure of the complex of the hydrolytic antibody Fab 9C10 with a transition-state analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Tsuchiya, Y., Fujii, I., Tada, T., Yamaguchi, A., Tsumuraya, T., Kumon, A.	1.9	X-RAY DIFFRACTION	0.249	0.19399999999999998	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None	6A9K_HL_H
3o41	H	L	0	P	peptide		fusion glycoprotein f1	IMMUNE SYSTEM/VIRAL PROTEIN	07/26/10	Crystal Structure of 101F Fab Bound to 15-mer Peptide Epitope	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human respiratory syncytial virus a	McLellan, J.S., Chen, M., Chang, J.S., Yang, Y., Kim, A., Graham, B.S., Kwong, P.D.	1.95	X-RAY DIFFRACTION	0.217	0.177	False	True	IGHV8	IGKV3	Kappa	None	None	None	None	None	3O41_HL_P
3o41	A	B	0	C	peptide		fusion glycoprotein f1	IMMUNE SYSTEM/VIRAL PROTEIN	07/26/10	Crystal Structure of 101F Fab Bound to 15-mer Peptide Epitope	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human respiratory syncytial virus a	McLellan, J.S., Chen, M., Chang, J.S., Yang, Y., Kim, A., Graham, B.S., Kwong, P.D.	1.95	X-RAY DIFFRACTION	0.217	0.177	False	True	IGHV8	IGKV3	Kappa	None	None	None	None	None	3O41_AB_C
5j13	C	B	0	A	protein		thymic stromal lymphopoietin	IMMUNE SYSTEM	03/28/16	Cytokine antibody complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Verstraete, K., Savvides, S.N.	2.298	X-RAY DIFFRACTION	0.215	0.18899999999999997	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None	5J13_CB_A
6mnq	H	L	0	P	peptide		envelope glycoprotein	IMMUNE SYSTEM	10/02/18	Rhesus macaque anti-HIV V3 antibody DH727.2 with gp120 V3 ZAM18 peptide	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Nicely, N.I.	1.804	X-RAY DIFFRACTION	0.225	0.185	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None	6MNQ_HL_P
6j6y	B	C	0	A	protein		fibroblast growth factor receptor 4	TRANSFERASE/IMMUNE SYSTEM	01/16/19	FGFR4 D2 - Fab complex	HOMO SAPIENS; SYNTHETIC CONSTRUCT	synthetic construct	synthetic construct	homo sapiens	Takahashi, M., Hanzawa, H.	2.15	X-RAY DIFFRACTION	0.258	0.193	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None	6J6Y_BC_A
6j6y	E	F	0	D	protein		fibroblast growth factor receptor 4	TRANSFERASE/IMMUNE SYSTEM	01/16/19	FGFR4 D2 - Fab complex	HOMO SAPIENS; SYNTHETIC CONSTRUCT	synthetic construct	synthetic construct	homo sapiens	Takahashi, M., Hanzawa, H.	2.15	X-RAY DIFFRACTION	0.258	0.193	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None	6J6Y_EF_D
5e94	B	A	0	G	protein		glucagon-like peptide 1 receptor	MEMBRANE PROTEIN	10/14/15	Antibody-bound Glucagon-like Peptide-1 receptor extracellular domain	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Soroka, V., Schluckebier, G., Reedtz-Runge, S.	2.0	X-RAY DIFFRACTION	0.232	0.188	False	True	IGHV3	IGKV10	Kappa	None	None	None	None	None	5E94_BA_G
5e94	D	C	0	H	protein		glucagon-like peptide 1 receptor	MEMBRANE PROTEIN	10/14/15	Antibody-bound Glucagon-like Peptide-1 receptor extracellular domain	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Soroka, V., Schluckebier, G., Reedtz-Runge, S.	2.0	X-RAY DIFFRACTION	0.232	0.188	False	True	IGHV3	IGKV10	Kappa	None	None	None	None	None	5E94_DC_H
6u3i	H	L	0	A	protein		proprotein convertase subtilisin/kexin type 9	HYDROLASE/HYDROLASE INHIBITOR/IMMUNE SYSTEM	08/21/19	Design of organo-peptides as bipartite PCSK9 antagonists	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Ultsch, M.H., Kirchhofer, D.	2.9	X-RAY DIFFRACTION	0.217	0.179	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None	6U3I_HL_A
6fxn	D	E	0	A	protein		tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6FXN_DE_A
6fxn	F	G	0	B	protein		tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6FXN_FG_B
6fxn	O	P	0	L	protein		tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6FXN_OP_L
6fxn	H	I	0	C	protein		tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6FXN_HI_C
6fxn	M	N	0	J	protein		tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6FXN_MN_J
6fxn	Q	R	0	K	protein		tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6FXN_QR_K
5eii	H	L	0	G	protein		histone chaperone asf1	IMMUNE SYSTEM	10/29/15	Structural determination of an protein complex of a Fab with increased solubility	HOMO SAPIENS; SACCHAROMYCES CEREVISIAE	homo sapiens	homo sapiens	saccharomyces cerevisiae	Bailey, L.J., Kossiakoff, A.A., Chaperone-Enabled Studies of Epigenetic Regulation Enzymes (CEBS)	2.44	X-RAY DIFFRACTION	0.233	0.185	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	5EII_HL_G
5eii	A	B	0	I	protein		histone chaperone asf1	IMMUNE SYSTEM	10/29/15	Structural determination of an protein complex of a Fab with increased solubility	HOMO SAPIENS; SACCHAROMYCES CEREVISIAE	homo sapiens	homo sapiens	saccharomyces cerevisiae	Bailey, L.J., Kossiakoff, A.A., Chaperone-Enabled Studies of Epigenetic Regulation Enzymes (CEBS)	2.44	X-RAY DIFFRACTION	0.233	0.185	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	5EII_AB_I
5nuz	H	L	0	D	protein		pre-glycoprotein polyprotein gp complex	IMMUNE SYSTEM	05/03/17	Junin virus GP1 glycoprotein in complex with an antibody Fab fragment	MUS MUSCULUS; JUNIN MAMMARENAVIRUS	mus musculus	mus musculus	junin mammarenavirus	Zeltina, A., Krumm, S.A., Sahin, M., Struwe, W.B., Harlos, K., Nunberg, J.H., Crispin, M., Pinschewer, D.D., Doores, K.J., Bowden, T.A.	1.85	X-RAY DIFFRACTION	0.210	0.185	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None	5NUZ_HL_D
5nuz	A	B	0	C	protein		pre-glycoprotein polyprotein gp complex	IMMUNE SYSTEM	05/03/17	Junin virus GP1 glycoprotein in complex with an antibody Fab fragment	MUS MUSCULUS; JUNIN MAMMARENAVIRUS	mus musculus	mus musculus	junin mammarenavirus	Zeltina, A., Krumm, S.A., Sahin, M., Struwe, W.B., Harlos, K., Nunberg, J.H., Crispin, M., Pinschewer, D.D., Doores, K.J., Bowden, T.A.	1.85	X-RAY DIFFRACTION	0.210	0.185	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None	5NUZ_AB_C
6mwn	C	D	0	B	nucleic-acid		hav dv rna (92-mer)	RNA/Immune System	10/29/18	Crystal structure of hepatitis A virus IRES domain V in complex with Fab HAVx	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatovirus a	Koirala, D., Shao, Y., Piccirilli, J.A.	2.838	X-RAY DIFFRACTION	0.252	0.18600000000000003	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6MWN_CD_B
6mwn	H	L	0	A	nucleic-acid		hav dv rna (92-mer)	RNA/Immune System	10/29/18	Crystal structure of hepatitis A virus IRES domain V in complex with Fab HAVx	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatovirus a	Koirala, D., Shao, Y., Piccirilli, J.A.	2.838	X-RAY DIFFRACTION	0.252	0.18600000000000003	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6MWN_HL_A
4xzu	E	F	0	G	protein		coagulation factor viii	IMMUNE SYSTEM	02/05/15	Crystal Structure of the Human Factor VIII C2 Domain in Complex with Murine 3E6 Inhibitory Antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Spiegel, P.C., Wuerth, M.E.	2.61	X-RAY DIFFRACTION	0.267	0.19899999999999998	False	False	IGHV9	IGKV4	Kappa	None	None	None	None	None	4XZU_EF_G
4xzu	A	B	0	M	protein		coagulation factor viii	IMMUNE SYSTEM	02/05/15	Crystal Structure of the Human Factor VIII C2 Domain in Complex with Murine 3E6 Inhibitory Antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Spiegel, P.C., Wuerth, M.E.	2.61	X-RAY DIFFRACTION	0.267	0.19899999999999998	False	False	IGHV9	IGKV4	Kappa	None	None	None	None	None	4XZU_AB_M
5w5x	H	L	0	A	protein		apoptosis regulator bax	APOPTOSIS/IMMUNE SYSTEM	06/16/17	Crystal structure of BAXP168G in complex with an activating antibody	HOMO SAPIENS; RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	homo sapiens	Robin, A.Y., Colman, P.M., Czabotar, P.E.	2.502	X-RAY DIFFRACTION	0.244	0.187	False	False	IGHV1	IGKV22	Kappa	None	None	None	None	None	5W5X_HL_A
4j6r	H	L	0	G	protein		envelope glycoprotein gp160	viral protein/immune system	02/11/13	Crystal structure of broadly and potently neutralizing antibody VRC23 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong P.D.	1.64	X-RAY DIFFRACTION	0.198	0.16399999999999998	False	True	unknown	IGKV3	Kappa	None	None	None	None	None	4J6R_HL_G
