pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
3lex	A	B	0	C	peptide	NA	envelope glycoprotein gp41	IMMUNE SYSTEM	01/15/10	2F5 Epitope scaffold elicited anti-HIV-1 monoclonal antibody 11F10 in complex with HIV-1 GP41	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Ofek, G., Guenaga, F.J., Schief, W.R., Skinner, J., Baker, D., Wyatt, R., Kwong, P.D.	1.97	X-RAY DIFFRACTION	0.198	0.165	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
5u4r	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/05/16	Crystal structure of the broadly neutralizing Influenza A antibody VRC 315 53-1A09 Fab.	HOMO SAPIENS	homo sapiens	homo sapiens		Joyce, M.G., Andrews, S.F., Mascola, J.R., McDermott, A.B., Kwong, P.D.	1.762	X-RAY DIFFRACTION	0.204	0.177	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5u4r	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/05/16	Crystal structure of the broadly neutralizing Influenza A antibody VRC 315 53-1A09 Fab.	HOMO SAPIENS	homo sapiens	homo sapiens		Joyce, M.G., Andrews, S.F., Mascola, J.R., McDermott, A.B., Kwong, P.D.	1.762	X-RAY DIFFRACTION	0.204	0.177	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7jlk	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/31/21	Crystal structure of glVRC01 Fab in complex with anti-idiotype iv1 scFv	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus		Weidle, C., Pancera, M.	1.99	X-RAY DIFFRACTION	0.235	0.179	False	True	IGHV9	IGKV6	Kappa	None	None	None	None	None
7jlk	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/31/21	Crystal structure of glVRC01 Fab in complex with anti-idiotype iv1 scFv	MUS MUSCULUS; HOMO SAPIENS	homo sapiens	homo sapiens		Weidle, C., Pancera, M.	1.99	X-RAY DIFFRACTION	0.235	0.179	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5x8m	B	C	0	A	protein	NA	programmed cell death 1 ligand 1	IMMUNE SYSTEM	03/03/17	PD-L1 in complex with durvalumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, H.T.	2.661	X-RAY DIFFRACTION	0.219	0.181	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6vjt	H	L	0	P	peptide	NA	antigenic region 139-148 of hepatitis b surface antigenprotein 	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	01/17/20	Co-crystals of broadly neutralizing antibody with the linear epitope from Hepatitis B surface antigen	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatitis b virus	Oren, D.A., Nussenzweig, M.C., Wang, Q.	1.782	X-RAY DIFFRACTION	0.227	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4yhz	H	L	0	P	peptide	NA	h3k4me3 peptide	IMMUNE SYSTEM	02/27/15	Crystal structure of 304M3-B Fab in complex with H3K4me3 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Hattori, T., Dementieva, I.S., Montano, S.P., Koide, S.	2.304	X-RAY DIFFRACTION	0.213	0.183	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
3naa	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/01/10	Crystal structure of Fab15 Mut5	HOMO SAPIENS	homo sapiens	homo sapiens		Luo, J., Feng, Y., Gilliland, G.L.	1.7	X-RAY DIFFRACTION	0.200	0.178	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
4dn3	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/08/12	Crystal structure of anti-mcp-1 antibody cnto888	HOMO SAPIENS	homo sapiens	homo sapiens		Obmolova, G., Teplyakov, A., Malia, T., Grygiel, T., Sweet, R., Snyder L., Gilliland, G.	2.6	X-RAY DIFFRACTION	0.249	0.191	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5lxa	H	H	0	A	protein	NA	adiponectin receptor protein 2	MEMBRANE PROTEIN	09/20/16	CRYSTAL STRUCTURE OF HUMAN ADIPONECTIN RECEPTOR 2 IN COMPLEX WITH A C18 FREE FATTY ACID AT 3.0 ANGSTROM RESOLUTION	MUS MUSCULUS; HOMO SAPIENS	mus musculus		homo sapiens	Vasiliauskaite-Brooks, I., Leyrat, C., Hoh, F., Granier, S.	3.0	X-RAY DIFFRACTION	0.254	0.199	True	True	unknown	unknown	unknown	None	None	None	None	None
5tzu	H	L	0	C	protein	NA	leukocyte surface antigen cd47	IMMUNE SYSTEM	11/22/16	Crystal structure of human CD47 ECD bound to Fab of B6H12.2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Cardoso, R.M.F.	2.1	X-RAY DIFFRACTION	0.213	0.177	False	True	IGHV5	IGKV5	Kappa	None	None	None	None	None
4k94	H	L	0	C | C	carbohydrate | protein	NAG | NA	N-ACETYL-D-GLUCOSAMINE | mast/stem cell growth factor receptor kit	IMMUNE SYSTEM	04/19/13	Crystal structure of KIT D4D5 fragment in complex with anti-Kit antibody Fab19	ESCHERICHIA COLI; HOMO SAPIENS			homo sapiens | homo sapiens	Resheynyak, A.V., Boggon, T.J., Lax, I., Schlessinger, J.	2.4	X-RAY DIFFRACTION	0.235	0.198	False	True	IGHV3	IGKV1	Kappa	None	None	None
4isv	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/17/13	Crystal structure of the Fab FRAGMENT OF 1C2, A MONOCLONAL ANTIBODY SPECIFIC FOR POLY-GLUTAMINE	MUS MUSCULUS	mus musculus	mus musculus		Klein, F.A.C., Zeder-Lutz, G., Cousido-Siah, A, Mitschler, A., Katz, A., Eberling, P., Mandel, J.L., Podjarny, A., Trottier, Y.	1.497	X-RAY DIFFRACTION	0.218	0.198	False	True	IGHV9	IGLV3	Lambda	None	None	None	None	None
6ol5	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/15/19	Structure of iglb12 Fab in complex with anti-idiotype ib3 Fab	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus		Weidle, C., Pancera, M.	2.9	X-RAY DIFFRACTION	0.250	0.200	False	True	IGHV1	IGKV17	Kappa	None	None	None	None	None
6ol5	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/15/19	Structure of iglb12 Fab in complex with anti-idiotype ib3 Fab	MUS MUSCULUS; HOMO SAPIENS	homo sapiens	homo sapiens		Weidle, C., Pancera, M.	2.9	X-RAY DIFFRACTION	0.250	0.200	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
3juy	C	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/15/09	Crystal Structure of a 3B3 Variant, a Broadly Neutralizing HIV-1 scFv Antibody	HOMO SAPIENS	homo sapiens			Clark, K.R., Walsh, S.T.	2.5	X-RAY DIFFRACTION	0.260	0.195	True	True	unknown	unknown	unknown	None	None	None	None	None
3juy	A	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/15/09	Crystal Structure of a 3B3 Variant, a Broadly Neutralizing HIV-1 scFv Antibody	HOMO SAPIENS	homo sapiens			Clark, K.R., Walsh, S.T.	2.5	X-RAY DIFFRACTION	0.260	0.195	True	True	unknown	unknown	unknown	None	None	None	None	None
3juy	D	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/15/09	Crystal Structure of a 3B3 Variant, a Broadly Neutralizing HIV-1 scFv Antibody	HOMO SAPIENS	homo sapiens			Clark, K.R., Walsh, S.T.	2.5	X-RAY DIFFRACTION	0.260	0.195	True	True	unknown	unknown	unknown	None	None	None	None	None
3juy	F	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/15/09	Crystal Structure of a 3B3 Variant, a Broadly Neutralizing HIV-1 scFv Antibody	HOMO SAPIENS	homo sapiens			Clark, K.R., Walsh, S.T.	2.5	X-RAY DIFFRACTION	0.260	0.195	True	True	unknown	unknown	unknown	None	None	None	None	None
3juy	B	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/15/09	Crystal Structure of a 3B3 Variant, a Broadly Neutralizing HIV-1 scFv Antibody	HOMO SAPIENS	homo sapiens			Clark, K.R., Walsh, S.T.	2.5	X-RAY DIFFRACTION	0.260	0.195	True	True	unknown	unknown	unknown	None	None	None	None	None
3juy	E	E	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/15/09	Crystal Structure of a 3B3 Variant, a Broadly Neutralizing HIV-1 scFv Antibody	HOMO SAPIENS	homo sapiens			Clark, K.R., Walsh, S.T.	2.5	X-RAY DIFFRACTION	0.260	0.195	True	True	unknown	unknown	unknown	None	None	None	None	None
4fq2	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/24/12	Crystal Structure of 10-1074 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Bjorkman, P.J.	1.9	X-RAY DIFFRACTION	0.223	0.187	False	True	IGHV4	unknown	unknown	None	None	None	None	None
4buh	A	A	0	NA	NA	NA	NA		06/20/13	Human IgE against the major allergen Bet v 1 - Crystal structure of  clone M0418 scFv	HOMO SAPIENS	homo sapiens			Davies, A.M., Levin, M., Lilljekvist, M., Carlsson, F., Gould, H.J., Sutton, B.J., Ohlin, M.	1.3	X-RAY DIFFRACTION	0.1728	0.1453	True	True	unknown	unknown	unknown	None	None	None	None	None
4buh	B	B	0	NA	NA	NA	NA		06/20/13	Human IgE against the major allergen Bet v 1 - Crystal structure of  clone M0418 scFv	HOMO SAPIENS	homo sapiens			Davies, A.M., Levin, M., Lilljekvist, M., Carlsson, F., Gould, H.J., Sutton, B.J., Ohlin, M.	1.3	X-RAY DIFFRACTION	0.1728	0.1453	True	True	unknown	unknown	unknown	None	None	None	None	None
4ztp	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/14/15	Fab structure of rabbit monoclonal antibody R53 targeting an epitope in HIV-1 gp120 C4 region	ORYCTOLAGUS CUNICULUS	oryctolagus cuniculus	oryctolagus cuniculus		Pan, R., Kong, X.-P.	1.63	X-RAY DIFFRACTION	0.228	0.195	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5ukp	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/23/17	Structure of unliganded anti-gp120 CD4bs antibody DH522.1 Fab	MACACA MULATTA	macaca mulatta	macaca mulatta		Nicely, N.I.	2.0	X-RAY DIFFRACTION	0.236	0.192	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
5fcs	H	H	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/15/15	Diabody	HOMO SAPIENS	homo sapiens			Mosyak, L., Root, A.	2.01	X-RAY DIFFRACTION	0.205	0.176	True	True	unknown	unknown	unknown	None	None	None	None	None
5fcs	L	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/15/15	Diabody	HOMO SAPIENS	homo sapiens			Mosyak, L., Root, A.	2.01	X-RAY DIFFRACTION	0.205	0.176	True	True	unknown	unknown	unknown	None	None	None	None	None
7neh	H	L	0	E	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/03/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	1.77	X-RAY DIFFRACTION	0.198	0.188	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
3so3	C	B	0	A	protein	NA	suppressor of tumorigenicity 14 protein	HYDROLASE	06/29/11	Structures of Fab-Protease Complexes Reveal a Highly Specific Non-Canonical Mechanism of Inhibition.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Schneider, E.L., Farady, C.J., Egea, P.F., Goetz, D.H., Baharuddin, A., Craik, C.S.	2.1	X-RAY DIFFRACTION	0.194	0.161	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6kva	h	l	0	b	peptide	NA	unknown	IMMUNE SYSTEM	09/03/19	Structure of anti-hCXCR2 abN48-2 in complex with its CXCR2 epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Xiang, J.C., Yan, L., Yang, B., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.235	0.194	False	False	IGHV1	IGLV5	Lambda	None	None	None	None	None
6kva	H	L	0	B	peptide	NA	peptide from c-x-c chemokine receptor type 2	IMMUNE SYSTEM	09/03/19	Structure of anti-hCXCR2 abN48-2 in complex with its CXCR2 epitope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Xiang, J.C., Yan, L., Yang, B., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.235	0.194	False	True	IGHV1	IGLV5	Lambda	None	None	None	None	None
5e2v	H	L	0	P	peptide	NA	tau phosphopeptide	IMMUNE SYSTEM	10/01/15	Anti-TAU AT8 FAB with doubly phosphorylated TAU peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T., Teplyakov, A.	1.64	X-RAY DIFFRACTION	0.208	0.165	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7jum	I	I	0	B	protein	NA	gametocyte surface protein p230	CELL INVASION	03/31/21	Pfs230 D1 domain in complex with neutralizing antibody LMIV230-01	PLASMODIUM FALCIPARUM (ISOLATE 3D7); HOMO SAPIENS	homo sapiens		plasmodium falciparum (isolate 3d7)	Tolia, N., Tang, W.K.	1.998	X-RAY DIFFRACTION	0.233	0.191	True	True	unknown	unknown	unknown	None	None	None	None	None
7jum	J	J	0	C	protein	NA	gametocyte surface protein p230	CELL INVASION	03/31/21	Pfs230 D1 domain in complex with neutralizing antibody LMIV230-01	PLASMODIUM FALCIPARUM (ISOLATE 3D7); HOMO SAPIENS	homo sapiens		plasmodium falciparum (isolate 3d7)	Tolia, N., Tang, W.K.	1.998	X-RAY DIFFRACTION	0.233	0.191	True	True	unknown	unknown	unknown	None	None	None	None	None
7jum	H	H	0	A	protein	NA	gametocyte surface protein p230	CELL INVASION	03/31/21	Pfs230 D1 domain in complex with neutralizing antibody LMIV230-01	PLASMODIUM FALCIPARUM (ISOLATE 3D7); HOMO SAPIENS	homo sapiens		plasmodium falciparum (isolate 3d7)	Tolia, N., Tang, W.K.	1.998	X-RAY DIFFRACTION	0.233	0.191	True	True	unknown	unknown	unknown	None	None	None	None	None
4xvs	H	L	0	G	protein	NA	donor 45 01dg5 coree gp120	Viral protein/Immune system	01/27/15	Crystal structure of HIV-1 donor 45 d45-01dG5 coreE gp120 with antibody 45-VRC01.H01+07.O-863513/45-VRC01.L01+07.O-110653 (VRC07_1995)	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Joyce, M.G., Mascola, J.R., Kwong, P.D.	1.9	X-RAY DIFFRACTION	0.214	0.194	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
1bj1	H	L	0	W	protein	NA	vascular endothelial growth factor	COMPLEX (ANTIBODY/ANTIGEN)	06/30/98	VASCULAR ENDOTHELIAL GROWTH FACTOR IN COMPLEX WITH A NEUTRALIZING ANTIBODY	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Muller, Y.A., Christinger, H.W., De Vos, A.M.	2.4	X-RAY DIFFRACTION	0.266	0.196	False	True	IGHV7	IGKV1	Kappa	3.40E-09	-11.55	SPR	25	9753694
1bj1	K	J	0	V	protein	NA	vascular endothelial growth factor	COMPLEX (ANTIBODY/ANTIGEN)	06/30/98	VASCULAR ENDOTHELIAL GROWTH FACTOR IN COMPLEX WITH A NEUTRALIZING ANTIBODY	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Muller, Y.A., Christinger, H.W., De Vos, A.M.	2.4	X-RAY DIFFRACTION	0.266	0.196	False	True	IGHV7	IGKV1	Kappa	3.40E-09	-11.55	SPR	25	9753694
4nki	H	L	0	NA	NA	NA	NA	CYTOKINE	11/12/13	Crystal structure of a Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Jiang, X.	2.41	X-RAY DIFFRACTION	0.245	0.197	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
2vxv	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/10/08	Crystal structure of human IgG ABT-325 Fab Fragment	HOMO SAPIENS	homo sapiens	homo sapiens		Argiriadi, M.A., Xiang, T., Wu, C., Ghayur, T., Borhani, D.W.	1.49	X-RAY DIFFRACTION	0.179	0.153	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None


5te7	H	L	0	G	protein	NA	hiv-1 gp120 core	IMMUNE SYSTEM	09/20/16	Crystal Structure of Broadly Neutralizing VRC01-class Antibody N6 in Complex with HIV-1 Clade C Strain DU172.17 gp120 Core	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.15	X-RAY DIFFRACTION	0.228	0.190	False	True	unknown	unknown	unknown	None	None	None	None	None
6a9k	B	A	0	B	Hapten	9T0	5-[(2R,3R)-2-[2,2-bis(chloranyl)ethanoylamino]-3-(4-nitrophenyl)-3-[oxidanyl-[[4-[2,2,2-tris(fluoranyl)ethanoylamino]phenyl]methyl]phosphoryl]oxy-propoxy]-5-oxidanylidene-pentanoic acid	IMMUNE SYSTEM	07/13/18	Crystal structure of the complex of the hydrolytic antibody Fab 9C10 with a transition-state analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Tsuchiya, Y., Fujii, I., Tada, T., Yamaguchi, A., Tsumuraya, T., Kumon, A.	1.9	X-RAY DIFFRACTION	0.249	0.194	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
6a9k	H	L	0	H	Hapten	9T0	5-[(2R,3R)-2-[2,2-bis(chloranyl)ethanoylamino]-3-(4-nitrophenyl)-3-[oxidanyl-[[4-[2,2,2-tris(fluoranyl)ethanoylamino]phenyl]methyl]phosphoryl]oxy-propoxy]-5-oxidanylidene-pentanoic acid	IMMUNE SYSTEM	07/13/18	Crystal structure of the complex of the hydrolytic antibody Fab 9C10 with a transition-state analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Tsuchiya, Y., Fujii, I., Tada, T., Yamaguchi, A., Tsumuraya, T., Kumon, A.	1.9	X-RAY DIFFRACTION	0.249	0.194	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
6ss5	H	L	0	NA	NA	NA	NA	PROTEIN BINDING	09/06/19	Structure of the arginase-2-inhibitory human antigen-binding fragment Fab C0020187	HOMO SAPIENS				Burschowsky, D., Addyman, A., Fiedler, S., Groves, M., Haynes, S., Seewooruthun, C., Carr, M.	1.78	X-RAY DIFFRACTION	0.217	0.178	False	False	IGHV3	IGLV1	Lambda	None	None	None	None	None
3o41	H	L	0	P	peptide	NA	fusion glycoprotein f1	IMMUNE SYSTEM/VIRAL PROTEIN	07/26/10	Crystal Structure of 101F Fab Bound to 15-mer Peptide Epitope	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human respiratory syncytial virus a	McLellan, J.S., Chen, M., Chang, J.S., Yang, Y., Kim, A., Graham, B.S., Kwong, P.D.	1.95	X-RAY DIFFRACTION	0.217	0.177	False	True	IGHV8	IGKV3	Kappa	None	None	None	None	None
3o41	A	B	0	C	peptide	NA	fusion glycoprotein f1	IMMUNE SYSTEM/VIRAL PROTEIN	07/26/10	Crystal Structure of 101F Fab Bound to 15-mer Peptide Epitope	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human respiratory syncytial virus a	McLellan, J.S., Chen, M., Chang, J.S., Yang, Y., Kim, A., Graham, B.S., Kwong, P.D.	1.95	X-RAY DIFFRACTION	0.217	0.177	False	True	IGHV8	IGKV3	Kappa	None	None	None	None	None
6n32	K	M	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/14/18	Anti-HIV-1 Fab 2G12 re-refinement	HOMO SAPIENS	homo sapiens	homo sapiens		Calarese, D.A., Stanfield, R.L., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.227	0.198	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
6n32	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/14/18	Anti-HIV-1 Fab 2G12 re-refinement	HOMO SAPIENS	homo sapiens	homo sapiens		Calarese, D.A., Stanfield, R.L., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.227	0.198	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
5j13	C	B	0	A	protein	NA	thymic stromal lymphopoietin	IMMUNE SYSTEM	03/28/16	Cytokine antibody complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Verstraete, K., Savvides, S.N.	2.298	X-RAY DIFFRACTION	0.215	0.189	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
6mnq	H	L	0	P	peptide	NA	envelope glycoprotein	IMMUNE SYSTEM	10/02/18	Rhesus macaque anti-HIV V3 antibody DH727.2 with gp120 V3 ZAM18 peptide	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Nicely, N.I.	1.804	X-RAY DIFFRACTION	0.225	0.185	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
6j6y	B	C	0	A	protein	NA	fibroblast growth factor receptor 4	TRANSFERASE/IMMUNE SYSTEM	01/16/19	FGFR4 D2 - Fab complex	HOMO SAPIENS; SYNTHETIC CONSTRUCT	synthetic construct	synthetic construct	homo sapiens	Takahashi, M., Hanzawa, H.	2.15	X-RAY DIFFRACTION	0.258	0.193	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
6j6y	E	F	0	D	protein	NA	fibroblast growth factor receptor 4	TRANSFERASE/IMMUNE SYSTEM	01/16/19	FGFR4 D2 - Fab complex	HOMO SAPIENS; SYNTHETIC CONSTRUCT	synthetic construct	synthetic construct	homo sapiens	Takahashi, M., Hanzawa, H.	2.15	X-RAY DIFFRACTION	0.258	0.193	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
5e94	B	A	0	G	protein	NA	glucagon-like peptide 1 receptor	MEMBRANE PROTEIN	10/14/15	Antibody-bound Glucagon-like Peptide-1 receptor extracellular domain	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Soroka, V., Schluckebier, G., Reedtz-Runge, S.	2.0	X-RAY DIFFRACTION	0.232	0.188	False	True	IGHV3	IGKV10	Kappa	None	None	None	None	None
5e94	D	C	0	H	protein	NA	glucagon-like peptide 1 receptor	MEMBRANE PROTEIN	10/14/15	Antibody-bound Glucagon-like Peptide-1 receptor extracellular domain	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Soroka, V., Schluckebier, G., Reedtz-Runge, S.	2.0	X-RAY DIFFRACTION	0.232	0.188	False	True	IGHV3	IGKV10	Kappa	None	None	None	None	None
1fai	H	L	0	NA	NA	NA	NA	IMMUNOGLOBULIN	05/27/92	THREE-DIMENSIONAL STRUCTURE OF TWO CRYSTAL FORMS OF FAB R19.9, FROM A MONOCLONAL ANTI-ARSONATE ANTIBODY	MUS MUSCULUS	mus musculus	mus musculus		Lascombe, M.B., Alzari, P.M., Poljak, R.J., Nisonoff, A.	2.7	X-RAY DIFFRACTION	unknown	0.189	False	True	IGHV1	IGKV10	Kappa	None	None	None	None	None
2o5y	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/06/06	Crystal structure of the 1E9 LeuH47Trp/ArgH100Trp Fab progesterone complex	MUS MUSCULUS, HOMO SAPIENS	mus musculus, homo sapiens	mus musculus, homo sapiens		Verdino, P., Wilson, I.A.	2.85	X-RAY DIFFRACTION	0.236	0.183	False	True	IGHV7	IGKV2	Kappa	None	None	None	None	None
4jam	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/18/13	Crystal structure of broadly neutralizing anti-hiv-1 antibody ch103	HOMO SAPIENS	homo sapiens	homo sapiens		Zhou, T., Moquin, S., Zheng, A., Srivatsan, S., Kwong, P.D.	1.65	X-RAY DIFFRACTION	0.197	0.169	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4jam	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/18/13	Crystal structure of broadly neutralizing anti-hiv-1 antibody ch103	HOMO SAPIENS	homo sapiens	homo sapiens		Zhou, T., Moquin, S., Zheng, A., Srivatsan, S., Kwong, P.D.	1.65	X-RAY DIFFRACTION	0.197	0.169	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
6u3i	H	L	0	A	protein	NA	proprotein convertase subtilisin/kexin type 9	HYDROLASE/HYDROLASE INHIBITOR/IMMUNE SYSTEM	08/21/19	Design of organo-peptides as bipartite PCSK9 antagonists	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Ultsch, M.H., Kirchhofer, D.	2.9	X-RAY DIFFRACTION	0.217	0.179	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
6fxn	D	E	0	A	protein	NA	tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
6fxn	F	G	0	B	protein	NA	tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
6fxn	O	P	0	L	protein	NA	tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
6fxn	H	I	0	C	protein	NA	tumor necrosis factor ligand superfamily member 13b	IMMUNE SYSTEM	03/09/18	Crystal structure of human BAFF in complex with Fab fragment of anti-BAFF antibody belimumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lammens, A., Maskos, K., Willen, L., Jiang, X., Schneider, P.	2.9	X-RAY DIFFRACTION	0.231	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
